id,UTC_date,latitude,longitude,depth,magnitude,region
624291,"2017-10-15 12:54:14.0",15.92,-95.25,50,4.0,"OFFSHORE OAXACA - MEXICO"
624292,"2017-10-15 13:08:24.8",42.97,13.03,8,2.2,"CENTRAL ITALY"
624294,"2017-10-15 13:20:01.7",32.84,-115.63,14,3.0,"SOUTHERN CALIFORNIA"
624297,"2017-10-15 13:26:37.5",42.56,-111.42,7,2.6,"SOUTHERN IDAHO"
624370,"2017-10-15 13:26:46.0",-35.12,144.51,2,2.1,"NEW SOUTH WALES - AUSTRALIA"
624299,"2017-10-15 13:27:11.9",13.48,-90.17,49,4.2,"OFFSHORE EL SALVADOR"
624303,"2017-10-15 13:35:45.1",26.12,129.81,10,5.0,"RYUKYU ISLANDS - JAPAN"
624307,"2017-10-15 14:13:57.4",44.4,-115.41,13,3.0,"SOUTHERN IDAHO"
624300,"2017-10-15 14:16:21.0",37.61,12.37,24,3.0,"SICILY - ITALY"
624301,"2017-10-15 14:19:24.1",45.4,84.83,1,4.0,"NORTHERN XINJIANG - CHINA"
624302,"2017-10-15 14:33:25.0",15.71,-94.89,18,4.1,"OFFSHORE OAXACA - MEXICO"
624305,"2017-10-15 14:34:30.0",38.58,14.47,18,2.8,"SICILY - ITALY"
624306,"2017-10-15 14:58:51.6",33.46,-116.44,5,2.1,"SOUTHERN CALIFORNIA"
624308,"2017-10-15 15:08:28.0",16.38,-95.22,67,4.0,"OAXACA - MEXICO"
624558,"2017-10-15 15:24:39.9",42.56,-111.42,9,2.5,"SOUTHERN IDAHO"
625354,"2017-10-15 16:09:25.5",63.18,-172.3,32,3.7,"BERING SEA"
624321,"2017-10-15 16:11:51.8",42.92,12.63,9,2.1,"CENTRAL ITALY"
624324,"2017-10-15 16:12:35.4",-23.12,-66.91,260,3.9,"JUJUY - ARGENTINA"
624327,"2017-10-15 16:23:31.2",36.6,34.43,5,2.1,"CENTRAL TURKEY"
624754,"2017-10-15 16:34:39.8",42.56,-111.41,6,2.1,"SOUTHERN IDAHO"
624560,"2017-10-15 16:39:20.2",42.56,-111.41,8,2.1,"SOUTHERN IDAHO"
625353,"2017-10-15 16:41:45.4",52.29,-175.68,180,3.0,"ANDREANOF ISLANDS - ALEUTIAN IS."
624328,"2017-10-15 16:43:32.6",42.83,13.08,8,3.2,"CENTRAL ITALY"
624331,"2017-10-15 16:51:16.1",35.21,-97.72,9,2.3,OKLAHOMA
624330,"2017-10-15 17:15:46.0",42.8,13.14,10,2.1,"CENTRAL ITALY"
624332,"2017-10-15 17:29:53.4",34.21,-119.49,9,2.5,"SANTA BARBARA CHANNEL - CALIF."
624761,"2017-10-15 17:35:01.0",42.55,-111.42,7,2.2,"SOUTHERN IDAHO"
624334,"2017-10-15 17:45:21.8",35.91,29.63,7,2.3,"EASTERN MEDITERRANEAN SEA"
624333,"2017-10-15 17:52:23.0",16.41,-95.23,67,4.0,"OAXACA - MEXICO"
624335,"2017-10-15 18:00:19.7",35.94,29.63,6,2.4,"EASTERN MEDITERRANEAN SEA"
